aaban,a0105,ˈɑːbən
aabarana,a0106050,ˌɑːbɐɹˈɑːnə
aabarna,a010650,ˈɑːbɑːnə
aabarniga,a01065020,ˈɑːbɑːnˌɪɡə
aabarshana,a01062050,ˌɑːbɑːʃˈɑːnə
aabarshini,a01062050,ˈɑːbɑːʃˌa͡ɪni
aabeeshaa,a01020,ˈɑːbiːʃˌɑː
aabha,a010,ˈɑːbhə
aabharan,a010605,ˈɑːbhaɹən
aabharana,a0106050,ˌɑːbhɐɹˈɑːnə
aabharna,a010650,ˈɑːbhɑːnə
aabhas,a0102,ˈɑːbhəz
aabhat,a0103,ˈɑːbat
aabheer,a0106,ɑːbhˈi͡ə
aabher,a0106,ˈɑːbhə
aabheri,a01060,ˈɑːbhəɹi
aabi,a010,ˈɑːba͡ɪ
aabilesh,a0104020,ˈɑːba͡ɪləʃ
aabinesha,a0105020,ˈɑːba͡ɪnʃə
aabinsha,a010520,ˈɑːbɪnʃə
aabir,a0106,ˈɑːbi͡ə
aabirsha,a010620,ˈɑːbɜːʃə
aabisha,a01020,ɑːbˈiːʃə
aabishan,a010205,ˈɑːbɪʃən
aabishayan,a010205,ˈɑːbɪʃˌe͡ɪən
aabitha,a01030,ɑːbˈɪθə
aaby,a010,ˈɑːbi
aacharya,a02060,ˈɑːt͡ʃɑːɹɪə
aachman,a020505,ˈɑːt͡ʃmən
aachuthan,a020305,ˈɑːt͡ʃʌθən
aadab,a0301,ˈɑːdab
aadal,a0304,ˈɑːdə͡l
aadalalagan,a0304040205,ˈɑːdɐlˌalaɡən
aadalarasan,a0304060205,ˈɑːdɐlˌaɹasən
aadalazhagan,a0304020205,ˈɑːdɐlˌaʒaɡən
aadamya,a03050,ˈɑːdɐmɪə
aadanya,a03050,ɑːdˈanjə
aadanyan,a030505,ɑːdˈanjən
aadarko,a030620,ɑːdˈɑːkə͡ʊ
aadarsh,a030620,ˈɑːdɑːʃ
aadarsha,a030620,ˈɑːdɑːʃə
aadarshan,a0306205,ˈɑːdɑːʃən
aadarshanan,a030620505,ˌɑːdɑːʃˈɑːnən
aadarshini,a03062050,ˈɑːdɑːʃˌa͡ɪni
aadav,a0301,ˈɑːdav
aadavan,a030105,ˈɑːdɐvˌan
aadeesh,a03020,ˈɑːdiːʃ
aademma,a03050,ˈɑːdɛmə
aadesh,a03020,ˈɑːdɛʃ
aadhan,a0305,ˈɑːdhən
aadhanya,a03050,ɑːdhˈanjə
aadhanyan,a030505,ɑːdhˈanjən
aadhar,a0306,ˈɑːdhɑː
aadharsh,a030620,ˈɑːdhɑːʃ
aadharshan,a0306205,ˈɑːdhɑːʃən
aadharshana,a03062050,ˌɑːdhɑːʃˈɑːnə
aadharshanaa,a03062050,ˈɑːdhɑːʃˌanɑː
aadharshini,a03062050,ˈɑːdhɑːʃˌa͡ɪni
aadharshun,a0306205,ˈɑːdhɑːʃˌʌn
aadharva,a030610,ˈɑːdhɑːvə
aadhav,a0301,ˈɑːdhav
aadhavan,a030105,ˈɑːdhɐvˌan
aadhaya,a030,ˈɑːdhe͡ɪə
aadhena,a03050,ɑːdhˈiːnə
aadhesh,a03020,ˈɑːdhɛʃ
aadhi,a030,ˈɑːdha͡ɪ
aadhiban,a030105,ˈɑːdhɪbən
aadhidev,a030301,ˈɑːdha͡ɪdəv
aadhidi,a03030,ɑːdhˈɪdi
aadhika,a03020,ˈɑːdhɪkə
aadhikeshavan,a0302020105,ˈɑːdha͡ɪkʃˌavan
aadhil,a0304,ˈɑːdhɪl
aadhila,a03040,ɑːdhˈɪlə
aadhina,a03050,ˈɑːdhɪnə
aadhinath,a0305030,ˈɑːdhɪnˌaθ
aadhini,a03050,ɑːdhˈiːnɪ
aadhira,a03060,ɑːdhˈi͡əɹə
aadhirai,a03060,ˈɑːdhəɹˌa͡ɪ
aadhiraiyan,a030605,ˈɑːdhəɹˌe͡ɪjən
aadhiraj,a030602,ˈɑːdhəɹˌad͡ʒ
aadhiran,a030605,ˈɑːdhɜːɹən
aadhirayan,a030605,ˈɑːdhəɹˌe͡ɪən
aadhiren,a030605,ˈɑːdha͡ɪ͡ən
aadhisan,a030205,ˈɑːdhɪsən
aadhiseshwar,a03020206,ˈɑːdha͡ɪsʃwˌɔː
aadhish,a03020,ˈɑːdhɪʃ
aadhishankar,a030205206,ˈɑːdhɪʃˌaŋkɑː
aadhishwaran,a03020605,ˈɑːdhɪʃwˌɔːɹən
aadhisri,a030260,ɑːdhˈɪsɹi
aadhithan,a030305,ˈɑːdhɪθən
aadhithiya,a03030,ˈɑːdhɪθˌɪjə
aadhithya,a03030,ˈɑːdhɪθɪə
aadhithyaa,a03030,ˈɑːdhɪθɪˌɑː
aadhithyan,a030305,ˈɑːdhɪθɪən
aadhitya,a03030,ˈɑːdhɪtɪə
aadhityan,a030305,ˈɑːdhɪtɪən
aadhiya,a030,ˈɑːdhɪjə
aadhiyannal,a030504,ˈɑːdhɪjˌanə͡l
aadhrika,a0306020,ˈɑːdɹɪkə
aadhunik,a030502,ˈɑːdhjuːnˌɪk
aadhvik,a030102,ˈɑːdvɪk
aadhya,a030,ˈɑːdɪə
aadhyaa,a030,ˈɑːdɪˌɑː
aadhyasri,a030260,ˈɑːdɪˌasɹi
aadhyatm,a03035,ˈɑːdɪˌatəm
aadi,a030,ˈɑːdi
aadidev,a030301,ˈɑːda͡ɪdəv
aadijay,a03020,ˈɑːdɪd͡ʒˌe͡ɪ
aadika,a03020,ˈɑːdɪkə
aadil,a0304,ˈɑːdɪl
aadilakshmi,a030402050,ˈɑːdɪlˌakʃmi
aadilen,a030405,ˈɑːda͡ɪlən
aadim,a0305,ˈɑːdɪm
aadimoolan,a03050405,ˈɑːdɪmˌuːlan
aadinath,a0305030,ˈɑːdɪnˌaθ
aadipta,a030130,ˈɑːdɪptə
aadirai,a03060,ˈɑːdəɹˌa͡ɪ
aadish,a03020,ˈɑːdɪʃ
aadishankar,a030205206,ˈɑːdɪʃˌaŋkɑː
aadishri,a0302060,ˈɑːdɪʃɹi
aadit,a0303,ˈɑːdɪt
aadita,a03030,ɑːdˈiːtə
aaditey,a03030,ˈɑːda͡ɪti
aaditeya,a03030,ˈɑːda͡ɪtjə
aadith,a03030,ˈɑːdɪθ
aadithi,a03030,ɑːdˈɪθɪ
aadithya,a03030,ˈɑːdɪθɪə
aadithyakethu,a030302030,ˌɑːdɪθɪɐkˈɛθuː
aadithyavarman,a03030106505,ˈɑːdɪθɪˌavɑːmən
aaditri,a030360,ɑːdˈɪtɹi
aadittya,a03030,ˈɑːdɪtɪə
aaditva,a030310,ˈɑːdɪtvə
aaditya,a03030,ˈɑːdɪtɪə
aadityaa,a03030,ˈɑːdɪtɪˌɑː
aadityan,a030305,ˈɑːdɪtɪən
